기준 년코드,기준_분기_코드,상권_코드,상권_코드_명,행정동명,시군구명,총_생활인구_수,남성,여성,10대,20대,30대,40대,50대,60대_이상,00~06시,06~11시,11~14시,14~17시,17~21시,21~24시,월요일,화요일,수요일,목요일,금요일,토요일,일요일
2021,4,2110411,도봉역 3번,도봉2동,도봉구,382115,186875,195240,37075,45662,49895,56234,65874,127375,86779,77404,50055,50953,69182,47741,54971,54988,55273,54996,54836,53188,53862
2021,4,2110410,방학역 2번,방학1동,도봉구,437194,218559,218634,58528,59881,57815,67866,75610,117492,91896,85938,58841,62295,84729,53495,62121,62738,62960,62502,63222,62054,61599
2021,4,2110409,창동역 2번,창5동,도봉구,780875,348161,432713,138595,101165,108724,119725,113469,199196,151358,146869,106121,117180,166259,93087,108443,106484,106730,107388,107837,121188,122805
2021,4,2110408,가인초등학교,창5동,도봉구,335583,153541,182042,54082,43172,46024,47553,54593,90159,66302,64920,44364,48026,70233,41738,46400,45437,45314,45242,45448,52609,55133
2021,4,2110407,도봉역 2번,도봉1동,도봉구,892019,443390,448628,89857,106341,104873,124759,158497,307694,252491,186603,98861,97947,140057,116060,126190,125950,125411,124870,125163,130240,134193
2021,4,2110406,도봉산역 1번,도봉1동,도봉구,202860,96739,106121,23032,20487,22112,25549,37541,74139,42544,46231,25842,28346,37136,22762,27804,27688,27983,27967,28111,31122,32186
2021,4,2110405,방학역 1번,방학1동,도봉구,1409727,667321,742406,158945,165180,160987,186203,244638,493774,397297,286458,153559,155016,226984,190411,200458,198441,197369,196969,197593,206333,212564
2021,4,2110404,신창초등학교,창3동,도봉구,2793426,1288013,1505413,466247,326027,294767,435834,478755,791797,873969,581045,284765,269193,399466,384988,399265,395436,392813,393161,393353,401304,418096
2021,4,2110403,방학1동주민센터,방학1동,도봉구,1697133,790050,907083,194372,196354,216525,239163,313507,537211,451610,336377,194228,204802,289423,220696,240331,236676,237269,232752,236840,255926,257341
2021,4,2110402,도봉구 정병원,방학1동,도봉구,603938,289132,314808,76570,74850,84349,83811,105019,179337,145160,124729,74329,77212,104917,77593,85522,84468,84642,85303,84797,88998,90208
2021,4,2110401,도봉구민회관,창5동,도봉구,213450,99569,113881,31115,28411,31629,33098,34168,55028,35172,40206,29848,31901,48179,28145,30088,29714,29972,29668,29884,31645,32480
2021,4,2110400,도봉구보건소,쌍문2동,도봉구,1558871,725510,833361,219208,204239,225847,221765,251180,436632,372143,310159,194257,200657,280487,201167,224938,221468,221915,221189,222445,222867,224050
2021,4,2110399,창2동주민센터,창2동,도봉구,1806761,822237,984523,309886,243999,261651,271773,277228,442225,547608,378800,187776,177423,268261,246893,260440,253652,252581,252567,251565,261835,274122
2021,4,2110398,쌍문2동우체국,쌍문2동,도봉구,916991,415741,501250,158838,109161,128396,133705,141646,245246,257684,185085,102695,102438,147717,121370,130728,130616,130795,130626,130561,131661,132005
2021,4,2110397,도봉산입구,도봉1동,도봉구,1448096,699139,748957,192621,154155,162347,184984,232697,521291,395245,299485,169053,170528,230745,183040,203454,201610,200840,201719,200501,214703,225267
2021,4,2110396,쌍문역1번(쌍리단길),창1동,도봉구,874115,402135,471981,102355,125462,127353,126376,142460,250110,237149,183606,100402,98426,138957,115574,125420,124129,124113,123450,122750,125036,129217
2021,4,2110395,신한은행 방학동지점,방학1동,도봉구,304656,142729,161927,41460,30560,37290,41896,54485,98963,64599,54142,38442,41738,63668,42067,42947,42422,42284,42878,42933,45395,45797
2021,4,2110394,방학중학교,방학2동,도봉구,1108756,526142,582614,126320,119979,127269,161207,187489,386492,297851,217160,124420,127063,187775,154487,159028,156782,155194,156334,156189,161523,163706
2021,4,2110393,국민은행방학지점,방학3동,도봉구,92846,41370,51476,13633,9394,10238,12366,15815,31400,14716,17525,13625,16154,19967,10859,13342,13232,13206,13427,13079,13355,13206
